# 读出设备名称
2020.03.05 05:54:01.02 | > R | 1800 (Generic Access) | 2a00 (Device Name) | 4d425037302d334344 (MBP70-3CD)
2020.03.05 06:17:13.313 | > R | 1800 (Generic Access) | 2a00 (Device Name) | 4d425037302d334344 (MBP70-3CD)
# 写入设备外观属性
2020.03.05 06:27:07.707 | < C | 1800 (Generic Access) | 2a01 (Appearance) | 0200 (  )
2020.03.05 06:27:09.681 | > R | 1800 (Generic Access) | 2a00 (Device Name) | 4d425037302d334344 (MBP70-3CD)
2020.03.05 06:30:27.832 | < C | 1800 (Generic Access) | 2a01 (Appearance) | 0200 (  )
2020.03.05 06:30:29.704 | > R | 1800 (Generic Access) | 2a00 (Device Name) | 4d425037302d334344 (MBP70-3CD)
2020.03.05 06:34:28.115 | < C | 1800 (Generic Access) | 2a01 (Appearance) | 0200 (  )
2020.03.05 06:34:30.082 | > R | 1800 (Generic Access) | 2a00 (Device Name) | 4d425037302d334344 (MBP70-3CD)
# 读出温度类型
2020.03.05 06:37:28.473 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
# 读出测量间隔
2020.03.05 06:37:28.474 | > R | 1809 (Health Thermometer) | 2a21 (Measurement Interval) | 02 ( )
2020.03.05 06:37:30.325 | > R | 1800 (Generic Access) | 2a00 (Device Name) | 4d425037302d334344 (MBP70-3CD)
# 读出测量温度
2020.03.05 06:38:00.114 | > R | 1809 (Health Thermometer) | 2a1c (Temperature Measurement) | 02650100ffdf07010702050d02 (  )
# 读出测量温度
2020.03.05 06:38:24.271 | < C | 1809 (Health Thermometer) | 2a1c (Temperature Measurement) | 02650100fcdf07010702050d02 (  )
2020.03.05 06:38:36.344 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.05 06:38:37.861 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.05 06:39:29.155 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.05 06:39:29.156 | > R | 1809 (Health Thermometer) | 2a21 (Measurement Interval) | 02 ( )
2020.03.05 06:43:48.409 | > R | 1800 (Generic Access) | 2a00 (Device Name) | 4d425037302d334344 (MBP70-3CD)
2020.03.05 06:44:04.942 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.05 06:44:12.022 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.05 06:44:35.327 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.05 06:44:38.793 | > R | 1809 (Health Thermometer) | 2a21 (Measurement Interval) | 0000 (  )
2020.03.05 06:58:38.342 | < C | 1800 (Generic Access) | 2a01 (Appearance) | 0200 (  )
2020.03.05 06:58:43.880 | > R | 1800 (Generic Access) | 2a00 (Device Name) | 4d425037302d334344 (MBP70-3CD)
2020.03.09 01:44:48.207 | > R | 1800 (Generic Access) | 2a00 (Device Name) | 4d425037302d334344 (MBP70-3CD)
2020.03.09 01:45:10.784 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.09 01:45:12.523 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.09 01:45:14.010 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.09 01:45:16.918 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.09 01:45:22.312 | > R | 1809 (Health Thermometer) | 2a1c (Temperature Measurement) | 02650200ffdf07010702050d02 (  )
2020.03.09 01:46:04.737 | > R | 1800 (Generic Access) | 2a00 (Device Name) | 4d425037302d334344 (MBP70-3CD)
2020.03.09 01:46:17.604 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.09 01:46:32.130 | > R | 1809 (Health Thermometer) | 2a21 (Measurement Interval) | 0000 (  )
2020.03.09 01:46:40.731 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.09 01:51:26.428 | > R | 1809 (Health Thermometer) | 2a1d (Temperature Type) | 02 ( )
2020.03.09 01:51:26.429 | > R | 1809 (Health Thermometer) | 2a21 (Measurement Interval) | 02 ( )
2020.03.09 01:51:28.179 | > R | 1800 (Generic Access) | 2a00 (Device Name) | 4d425037302d334344 (MBP70-3CD)
2020.03.09 01:52:06.138 | < C | 1809 (Health Thermometer) | 2a21 (Measurement Interval) | 0000 (  )
2020.03.09 01:52:07.364 | > R | 1809 (Health Thermometer) | 2a21 (Measurement Interval) | 0000 (  )
2020.03.09 01:52:07.995 | > R | 1809 (Health Thermometer) | 2a21 (Measurement Interval) | 0000 (  )
2020.03.09 01:52:11.884 | > R | 1809 (Health Thermometer) | 2a21 (Measurement Interval) | 0000 (  )
2020.03.09 01:57:29.550 | > R | 1800 (Generic Access) | 2a00 (Device Name) | 4d425037302d334344 (MBP70-3CD)
